NA_L3CODE,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
10.2.4,261,1291575.05,4948.5634099616855,2275.690576812272,2.7451737451737452,4727,405,29,86,62,0,1,1150,42342665,443564.559740813,687,70.75351213283525
11.1.1,1511,7111823.51,4706.69987425546,2152.0610103861977,1.3411528150134049,874774,1002571,21264,29347,18521,72,6,9866,4590171031.58,4065677.665796037,37156.17575746,41.46735986979484
11.1.2,126,314508.4,2496.0984126984126,2182.664638447968,0.7338709677419355,13377,6040,265,678,368,0,0,498,147306855.21,77171.19395707,929.333333333,46.296296296269844
11.1.3,428,2003273.4,4680.545327102804,1831.9299383407267,1.0900473933649288,327116,284234,1522,6362,4122,7,2,4176,1452292991,2052047.6264922,22332.01666676,42.77125431639252
12.1.1,348,1733685.1,4981.853735632184,2141.3058710030027,3.647398843930636,14210,1288,40,512,409,0,0,2099,314495144.76,257751.82420587,3031.5,48.7979038841408
13.1.1,933,6084475,6521.409431939978,1960.8526504669603,12.057483731019524,76095,6912,381,1140,670,0,1,7868,1245814879.9,830346.639245093,8270.000000003,30.36192427680493
15.4.1,418,1698286.5,4062.8863636363635,2117.467095738493,3.833734939759036,8035,16000,93,147,40,0,0,2039,78855151.75,41815.923351964,1891.33333334,34.778363025382774
5.2.1,352,335937.89,954.3690056818182,542.1299382495372,4.282798833819242,4861,157,118,730,267,8,0,1062,81623430.67,81215.20833342,1619,50.44034090909091
5.2.2,155,337734.25,2178.93064516129,1395.463785608987,1.861842105263158,762,20,13,92,15,0,0,379,11918629,12742.99999996,955.5,36.774193548387096
5.3.1,28,4342.8,155.1,89.88486567053572,7.535714285714286,24,60,0,1,1,1,0,76,547600,1801,40,68.4523809525
5.3.3,72,27981.7,388.6347222222222,179.3812496903889,11.728571428571428,691,130,32,34,11,0,0,122,1985923,3787.13333334,41,84.72222222222223
6.2.10,716,2883295.61,4026.949175977654,1650.0685601334162,14.474452554744525,37290,3732,255,743,270,0,0,7926,1165350793.19,1004051.03588761,13411.4999999,27.356461870044694
6.2.11,364,5438382.02,14940.609945054945,3628.97010759406,9.605714285714285,129171,85382,5567,5984,3407,19,4,8085,3649765099.9,3519069.8780393,35279.433333,44.727367450623625
6.2.12,492,3315598.55,6739.021443089431,1946.2775625016932,14.979338842975206,147844,55008,22405,24114,17180,107,5,7624,3711666284.57,2878232.9311559,29854.66666726,35.441953062729674
6.2.13,316,905244.9,2864.699050632911,1154.8466886055537,14.659163987138264,16225,7171,93,471,124,0,0,2790,363551328.57,243832.14281819,4312.71666667,22.559688931996835
6.2.14,568,2828762.65,4980.215933098591,1884.9776644266656,9.10909090909091,185880,38410,1705,4253,2557,2,0,6283,1595843339.39,879154.20146406,12699.83333337,33.38887169476585
6.2.15,1061,5358444.75,5050.37205466541,1188.6533706878424,22.425101214574898,53846.6666667,4288,121,646,198,0,1,11344,1675379304.61,1355662.74786079,17037.95000033,13.49736256564656
6.2.3,522,1549745.64,2968.861379310345,817.9973158128065,13.85207100591716,42743,4802,347,472,149,1,0,5331,1063571833.24,664507.735829797,6898,38.682620615517244
6.2.4,204,1206033.5,5911.928921568628,1764.3213987782744,26.65625,6213,2749,55,93,26,0,1,2819,369378947,295866.899997,3500,6.865051763514706
6.2.5,236,1401980.43,5940.595042372881,1607.49044529736,21.75,30477,1464,279,315,215,0,3,3217,741749872,619275.80563368,8362.6666667,27.495595113394067
6.2.7,224,1988804.5,8878.591517857143,3403.7263853060936,16.616438356164384,259627,70015,2597,2673,1370,6,4,4220,2137733950.13,1086702.5703898,10899.33333333,45.250193533598214
6.2.8,295,1610720.6,5460.069830508474,2399.072259887176,4.153846153846154,20590,3422,237,742,205,0,1,2703,1333873549,854850.3873323,7443,57.67352404259322
