,id,bupr_sum,bupr_sum,bupr_sum1km,bupr_sum4km
354,2819.0,0.0,0.0,0.0,0.0
355,2824.0,3.0,3.0,259.0,4226.0
356,2837.0,0.0,0.0,3.0,76.0
357,2873.0,0.0,0.0,4.0,52.0
358,2882.0,0.0,0.0,0.0,0.0
359,2910.0,0.0,0.0,0.0,0.0
360,2924.0,0.0,0.0,0.0,2.0
361,2930.0,0.0,0.0,4.0,56.0
362,2945.0,0.0,0.0,0.0,0.0
363,2955.0,0.0,0.0,0.0,0.0
364,2958.0,1.0,1.0,33.0,660.0
365,3018.0,0.0,0.0,0.0,1.0
366,3073.0,6.0,6.0,43.0,214.0
367,3088.0,0.0,0.0,0.0,0.0
368,3089.0,0.0,0.0,0.0,0.0
369,3091.0,0.0,0.0,5.0,26.0
370,3112.0,0.0,0.0,0.0,134.0
371,3116.0,0.0,0.0,0.0,0.0
372,3120.0,0.0,0.0,0.0,0.0
373,3121.0,0.0,0.0,2.0,31.0
374,3131.0,2.0,2.0,3.0,35.0
375,3139.0,0.0,0.0,0.0,0.0
376,3144.0,0.0,0.0,3.0,6.0
377,3180.0,0.0,0.0,0.0,0.0
378,3192.0,0.0,0.0,0.0,0.0
379,3226.0,0.0,0.0,0.0,0.0
380,3247.0,0.0,0.0,15.0,349.0
381,3320.0,0.0,0.0,0.0,0.0
382,3323.0,0.0,0.0,0.0,0.0
383,3493.0,0.0,0.0,0.0,2.0
384,3560.0,694.0,694.0,2994.0,15668.0
385,3584.0,0.0,0.0,0.0,1.0
386,3614.0,0.0,0.0,0.0,0.0
387,3627.0,5.0,5.0,66.0,1216.0
388,3639.0,0.0,0.0,0.0,2.0
389,3695.0,0.0,0.0,0.0,104.0
390,3813.0,2.0,2.0,14.0,349.0
391,3928.0,0.0,0.0,6.0,156.0
392,4221.0,11.0,11.0,46.0,152.0
393,4521.0,0.0,0.0,0.0,8971.0
394,4529.0,0.0,0.0,1.0,271.0
395,4549.0,0.0,0.0,0.0,210.0
396,4558.0,665.0,665.0,2803.0,6514.0
397,4682.0,0.0,0.0,0.0,16.0
398,4698.0,0.0,0.0,0.0,71.0
399,4931.0,0.0,0.0,0.0,385.0
400,5089.0,0.0,0.0,0.0,0.0
401,5091.0,0.0,0.0,0.0,0.0
402,5441.0,0.0,0.0,0.0,18.0
403,5450.0,0.0,0.0,14.0,41.0
404,5481.0,0.0,0.0,0.0,0.0
405,5500.0,0.0,0.0,0.0,0.0
406,5524.0,8.0,8.0,172.0,1268.0
407,5561.0,7.0,7.0,75.0,286.0
408,5580.0,6.0,6.0,43.0,130.0
409,5770.0,0.0,0.0,0.0,5844.0
410,5783.0,0.0,0.0,0.0,2.0
411,5792.0,0.0,0.0,0.0,0.0
412,5838.0,0.0,0.0,0.0,0.0
413,5883.0,0.0,0.0,0.0,0.0
414,5884.0,0.0,0.0,0.0,0.0
415,5895.0,0.0,0.0,0.0,72.0
416,5897.0,0.0,0.0,1686.0,12046.0
417,5927.0,0.0,0.0,2.0,4403.0
418,5977.0,0.0,0.0,0.0,64.0
419,6012.0,0.0,0.0,0.0,0.0
420,6018.0,0.0,0.0,2.0,6.0
421,6021.0,0.0,0.0,364.0,6229.0
422,6049.0,0.0,0.0,0.0,128.0
423,6050.0,0.0,0.0,0.0,0.0
424,6131.0,0.0,0.0,81.0,92.0
425,6148.0,308.0,308.0,733.0,1533.0
426,6176.0,0.0,0.0,0.0,0.0
427,6260.0,0.0,0.0,0.0,0.0
428,6262.0,0.0,0.0,0.0,0.0
429,6269.0,0.0,0.0,0.0,0.0
430,6272.0,0.0,0.0,0.0,0.0
431,6279.0,0.0,0.0,3.0,10667.0
432,6281.0,0.0,0.0,0.0,0.0
433,6289.0,0.0,0.0,3.0,3.0
434,6291.0,0.0,0.0,0.0,13.0
435,6293.0,0.0,0.0,0.0,4.0
436,6298.0,3.0,3.0,13.0,80.0
437,6309.0,0.0,0.0,0.0,59.0
438,6311.0,0.0,0.0,0.0,0.0
439,6332.0,0.0,0.0,0.0,0.0
440,6337.0,0.0,0.0,0.0,1438.0
441,6343.0,0.0,0.0,0.0,0.0
442,6350.0,0.0,0.0,0.0,22.0
443,6380.0,7.0,7.0,89.0,474.0
444,6388.0,0.0,0.0,0.0,0.0
445,6396.0,0.0,0.0,0.0,0.0
446,6413.0,0.0,0.0,0.0,0.0
447,6426.0,50.0,50.0,1594.0,10863.0
448,6427.0,0.0,0.0,0.0,0.0
449,6438.0,0.0,0.0,0.0,1.0
450,6443.0,0.0,0.0,0.0,0.0
451,6460.0,383.0,383.0,2173.0,3422.0
452,6485.0,430.0,430.0,1401.0,3861.0
453,6498.0,0.0,0.0,4.0,53.0
454,6507.0,23.0,23.0,31.0,35.0
455,6513.0,0.0,0.0,0.0,1.0
456,6516.0,0.0,0.0,0.0,0.0
457,6518.0,0.0,0.0,0.0,153.0
458,6539.0,0.0,0.0,0.0,5.0
459,6545.0,35.0,35.0,179.0,302.0
460,6553.0,758.0,758.0,1769.0,2437.0
461,6559.0,566.0,566.0,1607.0,7604.0
462,6575.0,20.0,20.0,77.0,978.0
463,6580.0,30.0,30.0,97.0,1292.0
464,6588.0,0.0,0.0,0.0,0.0
465,6589.0,0.0,0.0,0.0,15.0
466,6596.0,0.0,0.0,0.0,0.0
467,6597.0,0.0,0.0,2.0,24.0
468,6605.0,0.0,0.0,0.0,0.0
469,6606.0,0.0,0.0,27.0,414.0
470,6608.0,0.0,0.0,0.0,0.0
471,6609.0,0.0,0.0,5.0,32.0
472,6617.0,0.0,0.0,0.0,0.0
473,6627.0,0.0,0.0,0.0,0.0
474,6638.0,0.0,0.0,0.0,2.0
475,6640.0,0.0,0.0,0.0,0.0
476,6651.0,0.0,0.0,0.0,0.0
477,6657.0,0.0,0.0,0.0,0.0
478,6672.0,0.0,0.0,0.0,0.0
479,6679.0,0.0,0.0,0.0,22.0
480,6683.0,0.0,0.0,13.0,2454.0
481,6685.0,0.0,0.0,0.0,0.0
482,6694.0,0.0,0.0,0.0,0.0
483,6699.0,0.0,0.0,0.0,0.0
484,6708.0,0.0,0.0,0.0,0.0
485,6713.0,0.0,0.0,0.0,0.0
486,6714.0,0.0,0.0,0.0,0.0
487,6735.0,0.0,0.0,0.0,0.0
488,6739.0,0.0,0.0,354.0,8418.0
489,6744.0,0.0,0.0,0.0,16.0
490,6750.0,2.0,2.0,35.0,83.0
491,6755.0,0.0,0.0,0.0,0.0
492,6756.0,1.0,1.0,4.0,166.0
493,6783.0,0.0,0.0,0.0,0.0
494,6860.0,0.0,0.0,0.0,0.0
495,6862.0,1.0,1.0,10.0,41.0
496,6865.0,0.0,0.0,0.0,0.0
497,6884.0,0.0,0.0,0.0,0.0
498,6889.0,0.0,0.0,0.0,0.0
499,6890.0,0.0,0.0,0.0,0.0
500,6891.0,0.0,0.0,0.0,0.0
501,6913.0,4.0,4.0,21.0,5340.0
502,6914.0,0.0,0.0,0.0,0.0
503,6920.0,0.0,0.0,874.0,5249.0
504,6940.0,0.0,0.0,0.0,0.0
505,6970.0,6.0,6.0,33.0,238.0
506,6972.0,14.0,14.0,49.0,894.0
507,6975.0,0.0,0.0,0.0,0.0
508,6976.0,0.0,0.0,0.0,0.0
509,6984.0,0.0,0.0,0.0,0.0
510,7017.0,0.0,0.0,0.0,0.0
511,7018.0,5.0,5.0,13.0,62.0
512,7024.0,8.0,8.0,12.0,279.0
513,7026.0,0.0,0.0,0.0,28.0
514,7031.0,0.0,0.0,0.0,0.0
515,7040.0,0.0,0.0,0.0,4.0
516,7048.0,0.0,0.0,12.0,747.0
517,7052.0,0.0,0.0,88.0,573.0
518,7053.0,0.0,0.0,0.0,0.0
519,7062.0,2.0,2.0,6.0,12.0
520,7067.0,0.0,0.0,0.0,0.0
521,7071.0,0.0,0.0,1.0,76.0
522,7076.0,0.0,0.0,0.0,0.0
523,7079.0,0.0,0.0,0.0,0.0
524,7080.0,0.0,0.0,0.0,0.0
525,7081.0,0.0,0.0,0.0,0.0
526,7083.0,0.0,0.0,0.0,0.0
527,7084.0,2.0,2.0,20.0,1024.0
528,7086.0,0.0,0.0,14.0,2115.0
529,7091.0,0.0,0.0,0.0,1.0
530,7096.0,42.0,42.0,191.0,248.0
531,7098.0,0.0,0.0,1.0,19.0
532,7100.0,0.0,0.0,1.0,1.0
533,7103.0,0.0,0.0,12.0,54.0
534,7104.0,0.0,0.0,0.0,0.0
535,7107.0,0.0,0.0,0.0,0.0
536,7112.0,1.0,1.0,2.0,42.0
537,7119.0,0.0,0.0,0.0,0.0
538,7120.0,19.0,19.0,63.0,528.0
539,7121.0,0.0,0.0,0.0,0.0
540,7125.0,0.0,0.0,0.0,0.0
541,7127.0,0.0,0.0,0.0,0.0
542,7131.0,3.0,3.0,59.0,772.0
543,7134.0,0.0,0.0,0.0,0.0
544,7136.0,0.0,0.0,0.0,0.0
545,7146.0,0.0,0.0,0.0,0.0
546,7152.0,0.0,0.0,0.0,0.0
547,7154.0,0.0,0.0,0.0,0.0
548,7164.0,0.0,0.0,0.0,0.0
549,7171.0,0.0,0.0,6.0,27.0
550,7184.0,0.0,0.0,0.0,0.0
551,7199.0,2.0,2.0,12.0,163.0
552,7200.0,0.0,0.0,0.0,0.0
553,7205.0,0.0,0.0,0.0,6.0
554,7228.0,21.0,21.0,32.0,46.0
555,7229.0,79.0,79.0,1402.0,2725.0
556,7237.0,0.0,0.0,0.0,0.0
557,7245.0,0.0,0.0,0.0,0.0
558,7249.0,0.0,0.0,0.0,0.0
559,7250.0,6.0,6.0,273.0,1057.0
560,7255.0,4.0,4.0,5.0,260.0
561,7257.0,0.0,0.0,0.0,0.0
562,7259.0,0.0,0.0,4.0,226.0
563,7263.0,1.0,1.0,2.0,73.0
564,7269.0,0.0,0.0,1.0,92.0
565,7272.0,0.0,0.0,0.0,5.0
566,7285.0,0.0,0.0,0.0,0.0
567,7291.0,0.0,0.0,0.0,0.0
568,7293.0,0.0,0.0,0.0,0.0
569,7295.0,0.0,0.0,0.0,0.0
570,7303.0,0.0,0.0,0.0,0.0
571,7304.0,9.0,9.0,62.0,164.0
572,7307.0,0.0,0.0,0.0,0.0
573,7309.0,92.0,92.0,398.0,1032.0
574,7318.0,9.0,9.0,108.0,1938.0
575,7325.0,5.0,5.0,9.0,14.0
576,7342.0,9.0,9.0,16.0,405.0
577,7356.0,0.0,0.0,0.0,0.0
578,7361.0,12.0,12.0,13.0,73.0
579,7362.0,6.0,6.0,142.0,821.0
580,7382.0,0.0,0.0,0.0,0.0
581,7383.0,0.0,0.0,0.0,1.0
582,7459.0,0.0,0.0,0.0,0.0
583,7474.0,0.0,0.0,0.0,0.0
584,7486.0,34.0,34.0,94.0,2340.0
585,7488.0,0.0,0.0,0.0,0.0
586,7507.0,0.0,0.0,13.0,3199.0
587,7516.0,0.0,0.0,0.0,0.0
588,7531.0,0.0,0.0,0.0,23.0
589,7533.0,0.0,0.0,0.0,0.0
590,7539.0,0.0,0.0,0.0,0.0
591,7570.0,0.0,0.0,0.0,0.0
592,7572.0,0.0,0.0,0.0,0.0
593,7586.0,0.0,0.0,0.0,0.0
594,7596.0,66.0,66.0,135.0,1429.0
595,7600.0,0.0,0.0,0.0,43.0
596,7624.0,3.0,3.0,3.0,62.0
597,7625.0,0.0,0.0,0.0,0.0
598,7637.0,1.0,1.0,1.0,31.0
599,7645.0,0.0,0.0,0.0,0.0
